,gameId,homeTeamAbbr,visitorTeamAbbr,TeamWinning,gameDate,TeamWin,
11,2018090600,PHI,ATL,PHI,09/06/2018,PHI,
13,2018090901,CLE,PIT,PIT,09/09/2018,TIE,
25,2018090902,IND,CIN,CIN,09/09/2018,CIN,
29,2018090905,NE,HOU,NE,09/09/2018,NE,
33,2018090907,NYG,JAX,JAX,09/09/2018,JAX,
41,2018090910,CAR,DAL,CAR,09/09/2018,CAR,
44,2018090912,GB,CHI,CHI,09/09/2018,GB,
47,2018091300,CIN,BAL,CIN,09/13/2018,CIN,
68,2018091600,ATL,CAR,ATL,09/16/2018,ATL,
55,2018091602,GB,MIN,GB,09/16/2018,TIE,
61,2018091603,NO,CLE,NO,09/16/2018,NO,
71,2018091606,TB,PHI,TB,09/16/2018,TB,
79,2018092000,CLE,NYJ,CLE,09/20/2018,CLE,
81,2018092300,ATL,NO,ATL,09/23/2018,NO,OT
80,2018092302,CAR,CIN,CAR,09/23/2018,CAR,
97,2018092306,MIA,OAK,MIA,09/23/2018,MIA,
96,2018092308,PHI,IND,PHI,09/23/2018,PHI,
101,2018092700,LA,MIN,LA,09/27/2018,LA,
122,2018093000,ATL,CIN,ATL,09/30/2018,CIN,
103,2018093002,DAL,DET,DAL,09/30/2018,DAL,
110,2018093004,IND,HOU,HOU,09/30/2018,HOU,
134,2018093009,OAK,CLE,CLE,09/30/2018,OAK,OT
143,2018100100,DEN,KC,KC,10/01/2018,KC,
147,2018100701,CAR,NYG,CAR,10/07/2018,CAR,
167,2018101400,ATL,TB,ATL,10/14/2018,ATL,
161,2018101401,CIN,PIT,PIT,10/14/2018,PIT,
151,2018101403,HOU,BUF,HOU,10/14/2018,HOU,
168,2018101404,MIA,CHI,CHI,10/14/2018,MIA,
179,2018101408,WAS,CAR,WAS,10/14/2018,WAS,
180,2018101412,NE,KC,NE,10/14/2018,NE,
184,2018101500,GB,SF,SF,10/15/2018,GB,
188,2018102100,LAC,TEN,LAC,10/21/2018,LAC,
206,2018102101,BAL,NO,NO,10/21/2018,NO,
196,2018102102,CHI,NE,NE,10/21/2018,NE,
191,2018102108,PHI,CAR,CAR,10/21/2018,CAR,
197,2018102109,TB,CLE,TB,10/21/2018,TB,
209,2018102800,JAX,PHI,PHI,10/28/2018,PHI,
220,2018102803,CIN,TB,CIN,10/28/2018,CIN,
210,2018102805,KC,DEN,KC,10/28/2018,KC,
232,2018102809,ARI,SF,SF,10/28/2018,ARI,
247,2018110400,BAL,PIT,PIT,11/04/2018,PIT,
243,2018110404,MIA,NYJ,MIA,11/04/2018,MIA,
254,2018110408,SEA,LAC,LAC,11/04/2018,LAC,
260,2018111110,LA,SEA,LA,11/11/2018,LA,
272,2018111111,PHI,DAL,DAL,11/11/2018,DAL,
278,2018111200,SF,NYG,NYG,11/12/2018,NYG,
282,2018111800,ATL,DAL,DAL,11/18/2018,DAL,
288,2018111803,DET,CAR,DET,11/18/2018,DET,
289,2018111810,JAX,PIT,PIT,11/18/2018,PIT,
294,2018111900,LA,KC,KC,11/19/2018,LA,
298,2018112200,DET,CHI,CHI,11/22/2018,CHI,
300,2018112502,CAR,SEA,CAR,11/25/2018,SEA,
307,2018112509,DEN,PIT,DEN,11/25/2018,DEN,
342,2018120205,JAX,IND,JAX,12/02/2018,JAX,
333,2018120206,MIA,BUF,MIA,12/02/2018,MIA,
326,2018120207,NYG,CHI,NYG,12/02/2018,NYG,
318,2018120209,TB,CAR,TB,12/02/2018,TB,
344,2018120211,TEN,NYJ,TEN,12/02/2018,TEN,
346,2018120900,BUF,NYJ,NYJ,12/09/2018,NYJ,
357,2018120902,CLE,CAR,CLE,12/09/2018,CLE,
354,2018120905,KC,BAL,BAL,12/09/2018,KC,
347,2018120906,MIA,NE,NE,12/09/2018,MIA,
361,2018120909,LAC,CIN,LAC,12/09/2018,LAC,
358,2018120910,SF,DEN,SF,12/09/2018,SF,
367,2018120912,DAL,PHI,DAL,12/09/2018,DAL,
374,2018120913,OAK,PIT,PIT,12/09/2018,OAK,
382,2018121300,KC,LAC,KC,12/13/2018,LAC,
390,2018121500,NYJ,HOU,HOU,12/15/2018,HOU,
399,2018121610,PIT,NE,PIT,12/16/2018,PIT,
406,2018121611,LA,PHI,PHI,12/16/2018,PHI,
451,2018122201,LAC,BAL,BAL,12/22/2018,BAL,
413,2018122300,IND,NYG,NYG,12/23/2018,IND,
425,2018122309,NYJ,GB,NYJ,12/23/2018,GB,
418,2018122310,PHI,HOU,PHI,12/23/2018,PHI,
431,2018122312,SF,CHI,CHI,12/23/2018,CHI,
440,2018122313,NO,PIT,PIT,12/23/2018,NO,
450,2018123008,NYG,DAL,NYG,12/30/2018,DAL,